EEMMM,FECHA_DEF_CT,INTUBADO_CT,NEUMONIA_CT,EMBARAZO_CT,HABLA_LENGUA_INDIG_CT,DIABETES_CT,EPOC_CT,ASMA_CT,INMUSUPR_CT,HIPERTENSION_CT,OTRA_COM_CT,CARDIOVASCULAR_CT,OBESIDAD_CT,RENAL_CRONICA_CT,TABAQUISMO_CT,OTRO_CASO_CT,RESULTADO_POS,RESULTADO_NEG,RESULTADO_PDT,MUJERES_CT,HOMBRES_CT,LONGITUD,LATITUD,NOM_ENT,NOM_MUN
21074,0,0,3,0,0,5,0,0,0,4,0,0,2,2,1,4,3,12,1,1,2,-98.44877906267934,19.16712035190495,Puebla,Huejotzingo
21079,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-97.85963231453408,18.76692930966852,Puebla,Huitziltepec
21083,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-97.85841668427737,19.62404390113952,Puebla,Ixtacamaxtitlán
21085,3,5,11,2,1,6,3,0,1,8,3,2,9,1,7,22,12,30,7,7,5,-98.4470103381775,18.501915884204,Puebla,Izúcar de Matamoros
21087,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,-98.91566223783573,18.30719688153015,Puebla,Jolalpan
21090,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,-98.34546072411511,19.11932649956946,Puebla,Juan C. Bonilla
21094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-97.67613533020902,19.46915446704642,Puebla,Libres
21104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,-97.83330118050041,19.19061621111709,Puebla,Nopalucan
21106,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,0,1,0,-98.31913554968733,18.93166716683921,Puebla,Ocoyucan
21108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-97.58343657540807,19.32649860690463,Puebla,Oriental
21110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-97.5355765723521,18.83500599953943,Puebla,Palmar de Bravo
21113,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,-98.27075125958662,18.11397480809171,Puebla,Piaxtla
21114,26,21,168,4,3,107,17,37,21,141,66,38,151,27,87,349,222,569,162,97,125,-98.17615466242987,19.00761149519969,Puebla,Puebla
21115,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,-97.63447058567073,18.94815780894938,Puebla,Quecholac
21116,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-97.11338558289133,19.25373553910502,Puebla,Quimixtlán
21117,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-97.81652558104392,19.24794131185474,Puebla,Rafael Lara Grajales
21119,0,1,18,3,1,9,3,6,3,14,14,4,18,7,19,69,30,76,25,14,16,-98.28975250365335,19.02414117758432,Puebla,San Andrés Cholula
21124,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,-97.38396879849171,18.31813023680687,Puebla,San Gabriel Chilac
21125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-98.34561930270841,19.01049019474707,Puebla,San Gregorio Atzompa
21128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-97.72857106743211,19.25467460113749,Puebla,San José Chiapa
21132,0,0,5,1,0,3,2,0,0,1,1,1,3,0,0,3,1,8,4,1,0,-98.42851298618521,19.26895641973442,Puebla,San Martín Texmelucan
21134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-98.50282234029659,19.34665070176284,Puebla,San Matías Tlalancaleca
21136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,-98.3064453023078,19.17266375519438,Puebla,San Miguel Xoxtla
21137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-97.49753239598672,19.223112588578,Puebla,San Nicolás Buenos Aires
21138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-98.5669312385911,19.07942555986579,Puebla,San Nicolás de los Ranchos
21139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-98.13893540136526,18.14193516229037,Puebla,San Pablo Anicano
21140,1,1,11,0,1,13,3,5,0,11,4,1,10,1,5,25,15,58,12,8,7,-98.34313060835632,19.07296366257249,Puebla,San Pedro Cholula
21141,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-98.04403694608757,18.04066936646943,Puebla,San Pedro Yeloixtlahuaca
21142,1,0,1,0,0,2,1,1,0,3,0,0,4,0,0,4,2,5,3,1,1,-97.61391707393962,19.15394548369611,Puebla,San Salvador el Seco
21143,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,-98.56133829886333,19.24458617825762,Puebla,San Salvador el Verde
21144,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,5,0,6,0,0,0,-97.7723332893942,18.92651710573825,Puebla,San Salvador Huixcolotla
21148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-98.3853185067638,18.97483262340528,Puebla,Santa Isabel Cholula
21149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-97.42486596589325,18.55545775613702,Puebla,Santiago Miahuatlán
